concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,1617-,1.0,0.514,0.5508,1.0,1.0,1.6676465272903442,-0.0026427332777529955,0.886,250,0.164,0.016,0.0975609756097561,0.996,0.9999359999999999,0.164,1.0,0.06268091390497604,0.007807195794889486,38.62194232164275,38.37832831538848
body_part,entities,1850-,0.998,0.382,0.21748800000000001,0.998,0.99992,1.629647970199585,0.013355566188693047,0.938,249,0.060240963855421686,0.012048192771084338,0.2,0.996,0.999776,0.060240963855421686,1.0,0.08417654153981101,0.0,31.641744153212347,31.959417117156253
cognition,verbs,620+,1.0,0.276,0.14475200000000002,1.0,1.0,1.5833251476287842,-0.003316953545436263,0.918,250,0.144,0.008,0.05555555555555555,0.998,1.0,0.14,0.9722222222222222,0.06747436631069613,0.0,34.05602318167358,34.33140151198684
color,attributes,632+,1.0,0.566,0.635728,1.0,1.0,1.5636496543884277,0.005091202910989523,0.936,250,0.016,0.008,0.5,0.998,0.999968,0.012,0.75,0.06708241130711237,0.03755426671717901,36.564275795773426,36.180138218759836
desire_intention,verbs,372+,1.0,0.552,0.605264,1.0,1.0,1.606102705001831,-0.002272653393447399,0.884,250,0.208,0.1,0.4807692307692308,0.998,1.0,0.204,0.9807692307692307,0.07080707160488467,0.018469130240977308,36.573687935775894,36.863537958190506
eating_drinking,verbs,462+,1.0,0.408,0.407664,1.0,1.0,1.5520433187484741,0.0009466028423048556,0.898,250,0.176,0.048,0.2727272727272727,1.0,1.0,0.176,1.0,0.05795624260022542,0.0,38.78281336134412,39.110649309798085
family_relation,entities,1029-,1.0,0.484,0.42014399999999996,1.0,1.0,1.7730464935302734,0.0003639697970356792,0.97,247,0.008097165991902834,0.0,0.0,0.992,0.999952,0.008097165991902834,1.0,0.06085510981866402,0.011560178959295318,38.08164124383737,38.73966562644503
female_pronoun,grammar,210+,1.0,0.528,0.5862080000000001,1.0,1.0,1.7919257879257202,0.00041620159754529595,0.678,250,0.376,0.112,0.2978723404255319,0.904,0.960784,0.34,0.9042553191489362,0.05806707892303925,0.0,41.5877188013562,41.52284263628068
first_person_pronoun,grammar,1444+,1.0,0.45,0.42270399999999997,1.0,1.0,1.7007451057434082,-0.015139412134885788,0.938,249,0.10843373493975904,0.05220883534136546,0.48148148148148145,0.996,0.9997919999999999,0.10843373493975904,1.0,0.06670767677355423,0.0,35.669853535943226,36.05809543308762
food_drink,entities,462+,0.998,0.378,0.305136,0.998,1.0,1.6383538246154785,0.0037062650080770254,0.884,250,0.148,0.04,0.2702702702702703,0.998,1.0,0.148,1.0,0.07069811555138193,0.0,35.96446117560812,35.76980238440335
helping_prosocial,verbs,327-,1.0,0.52,0.52048,1.0,1.0,1.5713084936141968,-0.004313323181122541,0.724,250,0.528,0.376,0.7121212121212122,0.998,1.0,0.528,1.0,0.06158205783066896,0.0,40.54040568514867,39.385184627894226
human_person,entities,908-,1.0,0.324,0.216176,1.0,1.0,1.7047274112701416,0.0028758873231709003,0.916,249,0.008032128514056224,0.0,0.0,0.998,0.9996160000000001,0.008032128514056224,1.0,0.0695850061036768,0.0,33.6899615672021,34.028766453555896
inside_dialogue,grammar,683+,0.996,0.522,0.538608,0.996,0.9998239999999999,1.6310874223709106,0.002891095355153084,0.728,249,0.5220883534136547,0.3092369477911647,0.5923076923076923,0.956,0.992208,0.4979919678714859,0.9538461538461539,0.062182675563794365,0.0,39.775638333899714,39.450227310518436
male_pronoun,grammar,210+,1.0,0.49,0.45502400000000004,1.0,1.0,1.7881680727005005,-0.009321087040007114,0.668,250,0.376,0.048,0.1276595744680851,0.872,0.9369599999999999,0.332,0.8829787234042553,0.06686815477718684,0.0,35.912503483484585,35.873683633751874
motion,verbs,628+,1.0,0.38,0.26896,1.0,1.0,1.5907933712005615,-0.0039018974639475346,0.792,249,0.3534136546184739,0.09236947791164658,0.26136363636363635,0.996,1.0,0.3493975903614458,0.9886363636363636,0.06483836690247799,0.0,35.08135915052091,35.110495442143076
nature_weather,entities,1947+,1.0,0.484,0.452016,1.0,1.0,1.601508617401123,0.007466678041964769,0.758,250,0.324,0.128,0.3950617283950617,0.992,0.999856,0.316,0.9753086419753086,0.07521789592576894,0.007100247909710104,37.371808584759385,36.94396359824805
negation,grammar,937-,1.0,0.4,0.365728,1.0,1.0,1.6437625885009766,-0.018551666289567947,0.912,250,0.136,0.032,0.23529411764705882,1.0,1.0,0.136,1.0,0.07116366949505436,0.0,34.73552480901239,34.90923710263511
negative_emotion,attributes,739+,1.0,0.422,0.31208,1.0,1.0,1.5664459466934204,0.0030989088118076324,0.844,250,0.088,0.008,0.09090909090909091,0.996,1.0,0.088,1.0,0.0656993756322542,0.02405699067596936,34.97309766647743,35.64165932241573
perception,verbs,1784-,1.0,0.448,0.423984,1.0,1.0,1.6241734027862549,-0.004841980524361134,0.748,250,0.488,0.228,0.4672131147540984,1.0,1.0,0.488,1.0,0.05548009332395361,0.015666668789171004,40.613801615938854,40.08425607538242
place_location,entities,67+,1.0,0.524,0.6076480000000001,1.0,1.0,1.6312580108642578,0.008064467459917068,0.896,249,0.08032128514056225,0.040160642570281124,0.5,1.0,1.0,0.08032128514056225,1.0,0.06181573405423189,0.0292119581735748,36.747533429337985,36.90097845582322
positive_emotion,attributes,811-,1.0,0.492,0.526064,1.0,1.0,1.573798656463623,0.009442360140383244,0.824,247,0.016194331983805668,0.004048582995951417,0.25,0.996,1.0,0.016194331983805668,1.0,0.0567248211774331,0.0,40.69548823653186,40.620796741236205
size,attributes,1510-,1.0,0.472,0.48881600000000003,1.0,1.0,1.5860859155654907,0.014181875623762608,0.9,250,0.084,0.008,0.09523809523809523,0.998,1.0,0.08,0.9523809523809523,0.05645819503346364,0.0,38.600590536026445,39.35740416192815
speech,verbs,1146-,1.0,0.492,0.49863999999999997,1.0,1.0,1.6327426433563232,-0.004876735620200634,0.83,250,0.292,0.016,0.0547945205479452,1.0,1.0,0.292,1.0,0.05836227279163454,0.001659502821272211,39.304730794401834,39.07180380576556
toy_play_object,entities,1263-,1.0,0.576,0.611344,1.0,1.0,1.6493756771087646,0.010595964267849922,0.76,248,0.42338709677419356,0.08870967741935484,0.20952380952380953,0.962,0.99536,0.4032258064516129,0.9523809523809523,0.057115703156240635,0.011104925119362737,40.387428543189316,40.18464634811031
