concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,107-,0.998,0.498,0.7004480000000001,0.998,1.0,2.048596143722534,0.005959461443126202,0.93,249,0.10040160642570281,0.0,0.0,0.998,0.99984,0.10040160642570281,1.0,0.03347867992652604,0.0006772124133550444,77.14068167081882,76.83708057312889
body_part,entities,1660+,0.998,0.526,0.551936,0.998,1.0,1.9706844091415405,0.0018035726388916373,0.762,249,0.3493975903614458,0.12048192771084337,0.3448275862068966,1.0,1.0,0.3493975903614458,1.0,0.03240746329130642,0.00957662992390103,79.31987620086923,79.12669241142535
cognition,verbs,1607+,1.0,0.41,0.388896,1.0,1.0,1.9925998449325562,0.0055542984046041965,0.876,249,0.14056224899598393,0.04417670682730924,0.3142857142857143,1.0,1.0,0.14056224899598393,1.0,0.03480086713283961,0.0,76.46198927815819,76.89000032585226
color,attributes,1513-,1.0,0.498,0.47686399999999995,1.0,1.0,1.8495234251022339,-7.228255071822787e-06,0.868,249,0.01606425702811245,0.004016064257028112,0.25,0.998,1.0,0.01606425702811245,1.0,0.03706896503389139,0.0,74.59034168527464,74.45186903354694
desire_intention,verbs,1835-,1.0,0.45,0.446224,1.0,1.0,2.000800371170044,0.0004744112375192344,0.87,249,0.0642570281124498,0.004016064257028112,0.0625,0.998,1.0,0.0642570281124498,1.0,0.03759237802521922,0.029621126571983188,77.96932132685416,77.36344106926998
eating_drinking,verbs,114+,1.0,0.52,0.508912,1.0,1.0,1.9633584022521973,0.013810202479362488,0.9,250,0.176,0.02,0.11363636363636363,1.0,1.0,0.176,1.0,0.03729325124251812,0.004091198745141744,75.20198901758138,75.4167580112366
family_relation,entities,1245-,1.0,0.542,0.56776,1.0,1.0,2.1710853576660156,-0.0018786807777360082,0.956,246,0.024390243902439025,0.008130081300813009,0.3333333333333333,0.994,0.9994879999999999,0.024390243902439025,1.0,0.03481491002919325,0.012733850690638943,79.10505879541071,78.71977610642914
female_pronoun,grammar,789-,1.0,0.506,0.49751999999999996,1.0,1.0,2.225935935974121,-0.009076718240976334,0.572,250,0.368,0.052,0.14130434782608695,0.96,0.9936320000000001,0.364,0.9891304347826086,0.031017392701778987,0.0,80.97279436235479,81.23651479021483
first_person_pronoun,grammar,1769+,1.0,0.528,0.5716319999999999,1.0,1.0,2.132965087890625,-0.01493681687861681,0.858,250,0.208,0.076,0.36538461538461536,0.994,0.99992,0.2,0.9615384615384616,0.03613902553039481,0.0,75.47725820701001,75.3775242244158
food_drink,entities,1775+,1.0,0.47,0.5096320000000001,1.0,1.0,1.9936789274215698,0.010910222306847572,0.906,249,0.0642570281124498,0.004016064257028112,0.0625,1.0,1.0,0.0642570281124498,1.0,0.03696038569514377,0.016356383458057955,75.5631776942975,75.3870781856146
helping_prosocial,verbs,573-,1.0,0.43,0.42091200000000006,1.0,1.0,1.9788672924041748,-0.004400469362735748,0.762,250,0.328,0.008,0.024390243902439025,1.0,1.0,0.328,1.0,0.03353930848081845,0.00603243881250822,76.98504584608492,77.17702184445484
human_person,entities,107-,1.0,0.54,0.577984,1.0,1.0,2.077591896057129,0.007418309338390827,0.84,249,0.07228915662650602,0.024096385542168676,0.3333333333333333,0.994,0.9999359999999999,0.07228915662650602,1.0,0.032689320397838686,0.0,82.22991526622425,81.45420674006579
